ID,Password,Name,Points
student01,1663,김여름,1000
student02,9404,이방학,200
student03,9198,박스탬프,300
student04,2504,최파티,100
student05,6461,정아케,100
student06,9616,강펀데이,100
student07,1440,조썸머,100
student08,9165,윤스쿨,100
student09,1767,장스마트,100
student10,2272,임마켓,100
student11,8556,한열매,100
student12,5682,오행복,100
student13,8605,서사랑,100
student14,8339,신슬기,100
student15,7180,권지혜,100
student16,4679,황보람,100
student17,6736,송기쁨,100
student18,3880,전하늘,100
student19,1918,홍바다,100
student20,6320,유햇살,100
student21,9926,고은별,100
student22,5456,문아름,100
student23,1623,양다솜,100
student24,1494,손미소,100
student25,5983,배기찬,100
student26,3343,조희망,100
student27,2598,백드림,100
student28,9204,허으뜸,100
student29,2827,유찬란,100
student30,9557,남누리,100
