ID	Password	Name	Points
student01	3669	김여름	100
student02	2688	이방학	100
student03	9673	박스탬프	100
student04	5080	최파티	100
student05	6166	정아케	100
student06	6879	강펀데이	100
student07	7819	조썸머	100
student08	1506	윤스쿨	100
student09	6790	장스마트	100
student10	2222	임마켓	100
student11	3368	한열매	100
student12	9210	오행복	100
student13	2295	서사랑	100
student14	4529	신슬기	100
student15	3335	권지혜	100
student16	2069	황보람	100
student17	3047	송기쁨	100
student18	2999	전하늘	100
student19	8631	홍바다	100
student20	9085	유햇살	100
student21	2686	고은별	100
student22	1337	문아름	100
student23	5462	양다솜	100
student24	6860	손미소	100
student25	5062	배기찬	100
student26	5416	조희망	100
student27	1594	백드림	100
student28	7123	허으뜸	100
student29	7294	유찬란	100
student30	1367	남누리	100
